district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-fc4d9fe2c8,BOLU,BOLU,0,2.0,365
TR-bc436d2f94,BOLU,DÖRTDİVAN,634,2.0,365
TR-b67faefe60,BOLU,GEREDE,1060,2.0,365
TR-9199b46b2a,BOLU,GÖYNÜK,1407,2.0,365
TR-9270c63855,BOLU,KIBRISCIK,562,2.0,365
TR-90205d5e89,BOLU,MENGEN,874,2.0,365
TR-5859502872,BOLU,MUDURNU,1314,2.0,365
TR-6846f4941b,BOLU,SEBEN,683,2.0,365
TR-a61e7ecac6,BOLU,YENİÇAĞA,163,2.0,365
TR-c94869edc4,BURDUR,ALTINYAYLA(DİRMİL),0,3.0,365
TR-2640450832,BURDUR,AĞLASUN,305,3.0,365
TR-177dbae0a5,BURDUR,BUCAK,1511,3.0,365
TR-fbc6fda77b,BURDUR,BURDUR,0,3.0,365
TR-d74ffdd0b4,BURDUR,GÖLHİSAR,494,3.0,365
TR-a2767e387a,BURDUR,KARAMANLI,372,3.0,365
TR-9dc95d786d,BURDUR,KEMER,373,3.0,365
TR-62473ccd23,BURDUR,TEFENNİ,582,3.0,365
TR-66c21944ef,BURDUR,YEŞİLOVA,1108,3.0,365
TR-b058e6dd1b,BURDUR,ÇAVDIR,482,3.0,365
TR-c4659ed840,BURDUR,ÇELTİKÇİ,161,3.0,365
TR-b82eebdfb2,BURSA,BÜYÜKORHAN,505,1.0,365
TR-f6198bee96,BURSA,GEMLİK,401,1.0,365
TR-609b78c608,BURSA,GÜRSU,106,1.0,365
TR-ea099c03c8,BURSA,HARMANCIK,400,1.0,365
TR-51e97dc6ef,BURSA,KARACABEY,1158,1.0,365
TR-602dd9d1b0,BURSA,KELES,617,1.0,365
TR-328404c9b5,BURSA,KESTEL,396,1.0,365
TR-4f8332d3be,BURSA,MUDANYA,369,1.0,365
TR-11cbe0ba6c,BURSA,MUSTAFAKEMALPAŞA,1641,1.0,365
TR-2e660defe6,BURSA,NİLÜFER,552,1.0,365
TR-7f81f247fd,BURSA,ORHANELİ,838,1.0,365
TR-c03cc5d5ec,BURSA,ORHANGAZİ,506,1.0,365
TR-1f28844e45,BURSA,OSMANGAZİ,621,1.0,365
TR-ddb26fc640,BURSA,YENİŞEHİR,720,1.0,365
TR-610eb36d3b,BURSA,YILDIRIM,110,1.0,365
TR-1c907bd7fc,BURSA,İNEGÖL,1118,1.0,365
TR-2c5e3b6200,BURSA,İZNİK,753,1.0,365
TR-d5194f1919,BİLECİK,BOZÜYÜK,860,3.0,365
TR-63f80548a7,BİLECİK,BİLECİK,0,3.0,365
