il,ilce,yuzey_alani_km2
ELAZIĞ,BASKİL,1318.0
ELAZIĞ,ELAZIĞ_MERKEZ,2243.0
ELAZIĞ,KARAKOÇAN,1049.0
ELAZIĞ,KEBAN,641.0
ELAZIĞ,KOVANCILAR,960.0
ELAZIĞ,MADEN,819.0
ELAZIĞ,PALU,730.0
ELAZIĞ,SİVRİCE,710.0
ERZİNCAN,ÇAYIRLI,1062.0
ERZİNCAN,ERZİNCAN_MERKEZ,1521.0
ERZİNCAN,İLİÇ,1382.0
ERZİNCAN,KEMAH,2311.0
ERZİNCAN,KEMALİYE,1207.0
ERZİNCAN,OTLUKBELİ,320.0
ERZİNCAN,REFAHİYE,1808.0
ERZİNCAN,TERCAN,1614.0
ERZİNCAN,ÜZÜMLÜ,591.0
ERZURUM,AŞKALE,1507.0
ERZURUM,AZİZİYE,1529.0
ERZURUM,ÇAT,1448.0
ERZURUM,HINIS,1367.0
ERZURUM,HORASAN,1740.0
ERZURUM,İSPİR,2129.0
ERZURUM,KARAÇOBAN,571.0
ERZURUM,KARAYAZI,1953.0
ERZURUM,KÖPRÜKÖY,777.0
ERZURUM,NARMAN,799.0
ERZURUM,OLTU,1441.0
ERZURUM,OLUR,893.0
ERZURUM,PALANDÖKEN,667.0
ERZURUM,PASİNLER,1134.0
ERZURUM,PAZARYOLU,654.0
ERZURUM,ŞENKAYA,1381.0
ERZURUM,TEKMAN,2102.0
ERZURUM,TORTUM,1463.0
ERZURUM,UZUNDERE,505.0
ERZURUM,YAKUTİYE,945.0
ESKİŞEHİR,ALPU,1028.0
ESKİŞEHİR,BEYLİKOVA,715.0
ESKİŞEHİR,ÇİFTELER,858.0
ESKİŞEHİR,GÜNYÜZÜ,828.0
ESKİŞEHİR,HAN,378.0
ESKİŞEHİR,İNÖNÜ,345.0
ESKİŞEHİR,MAHMUDİYE,659.0
ESKİŞEHİR,MİHALGAZİ,109.0
ESKİŞEHİR,MİHALIÇÇIK,1809.0
ESKİŞEHİR,ODUNPAZARI,1120.0
ESKİŞEHİR,SARICAKAYA,382.0
ESKİŞEHİR,SEYİTGAZİ,1578.0
ESKİŞEHİR,SİVRİHİSAR,2748.0
ESKİŞEHİR,TEPEBAŞI,1403.0
GAZİANTEP,ARABAN,592.0
GAZİANTEP,İSLAHİYE,865.0
GAZİANTEP,KARKAMIŞ,298.0
GAZİANTEP,NİZİP,944.0
GAZİANTEP,NURDAĞI,697.0
GAZİANTEP,OĞUZELİ,689.0
GAZİANTEP,ŞAHİNBEY,960.0
GAZİANTEP,ŞEHİTKAMİL,1290.0
GAZİANTEP,YAVUZELİ,468.0
GİRESUN,ALUCRA,1138.0
GİRESUN,BULANCAK,721.0
GİRESUN,ÇAMOLUK,444.0
GİRESUN,ÇANAKÇI,142.0
GİRESUN,DERELİ,849.0
GİRESUN,DOĞANKENT,110.0
GİRESUN,ESPİYE,248.0
GİRESUN,EYNESİL,51.0
GİRESUN,GİRESUN_MERKEZ,376.0
GİRESUN,GÖRELE,237.0
GİRESUN,GÜCE,351.0
GİRESUN,KEŞAP,197.0
GİRESUN,PİRAZİZ,127.0
GİRESUN,ŞEBİNKARAHİSAR,1396.0
GİRESUN,TİREBOLU,259.0
GİRESUN,YAĞLIDERE,327.0
GÜMÜŞHANE,GÜMÜŞHANE_MERKEZ,1889.0
GÜMÜŞHANE,KELKİT,1571.0
GÜMÜŞHANE,KÖSE,353.0
GÜMÜŞHANE,KÜRTÜN,917.0
GÜMÜŞHANE,ŞİRAN,965.0
GÜMÜŞHANE,TORUL,973.0
HAKKÂRİ,ÇUKURCA,725.0
HAKKÂRİ,DERECİK,435.0
HAKKÂRİ,HAKKÂRİ_MERKEZ,2179.0
HAKKÂRİ,ŞEMDİNLİ,1209.0
HAKKÂRİ,YÜKSEKOVA,2547.0
HATAY,ALTINÖZÜ,392.0
HATAY,ANTAKYA,703.0
HATAY,ARSUZ,462.0
HATAY,BELEN,184.0
HATAY,DEFNE,155.0
HATAY,DÖRTYOL,342.0
HATAY,ERZİN,258.0
HATAY,HASSA,520.0
HATAY,İSKENDERUN,247.0
HATAY,KIRIKHAN,715.0
HATAY,KUMLU,193.0
HATAY,PAYAS,157.0
HATAY,REYHANLI,367.0
HATAY,SAMANDAĞ,384.0
HATAY,YAYLADAĞI,445.0
IĞDIR,ARALIK,852.0
IĞDIR,IĞDIR_MERKEZ,1273.0
IĞDIR,KARAKOYUNLU,269.0
IĞDIR,TUZLUCA,1270.0
ISPARTA,AKSU,544.0
ISPARTA,ATABEY,223.0
ISPARTA,EĞİRDİR,1315.0
ISPARTA,GELENDOST,610.0
ISPARTA,GÖNEN,285.0
ISPARTA,ISPARTA_MERKEZ,773.0
ISPARTA,KEÇİBORLU,494.0
ISPARTA,SENİRKENT,521.0
ISPARTA,SÜTÇÜLER,1235.0
ISPARTA,ŞARKİKARAAĞAÇ,1068.0
ISPARTA,ULUBORLU,240.0
ISPARTA,YALVAÇ,1402.0
ISPARTA,YENİŞARBADEMLİ,237.0
İSTANBUL,ADALAR,11.0
İSTANBUL,ARNAVUTKÖY,453.0
İSTANBUL,ATAŞEHİR,25.0
İSTANBUL,AVCILAR,50.0
İSTANBUL,BAĞCILAR,23.0
İSTANBUL,BAHÇELİEVLER,17.0
İSTANBUL,BAKIRKÖY,29.0
İSTANBUL,BAŞAKŞEHİR,107.0
İSTANBUL,BAYRAMPAŞA,9.0
İSTANBUL,BEŞİKTAŞ,18.0
İSTANBUL,BEYKOZ,310.0
İSTANBUL,BEYLİKDÜZÜ,39.0
İSTANBUL,BEYOĞLU,9.0
İSTANBUL,BÜYÜKÇEKMECE,173.0
İSTANBUL,ÇATALCA,1142.0
İSTANBUL,ÇEKMEKÖY,152.0
İSTANBUL,ESENLER,19.0
İSTANBUL,ESENYURT,43.0
İSTANBUL,EYÜP,228.0
İSTANBUL,FATİH,15.0
İSTANBUL,GAZİOSMANPAŞA,12.0
İSTANBUL,GÜNGÖREN,7.0
İSTANBUL,KADIKÖY,25.0
İSTANBUL,KÂĞITHANE,15.0
İSTANBUL,KARTAL,38.0
İSTANBUL,KÜÇÜKÇEKMECE,44.0
İSTANBUL,MALTEPE,53.0
İSTANBUL,PENDİK,190.0
İSTANBUL,SANCAKTEPE,63.0
İSTANBUL,SARIYER,177.0
İSTANBUL,SİLİVRİ,858.0
İSTANBUL,SULTANBEYLİ,29.0
İSTANBUL,SULTANGAZİ,37.0
İSTANBUL,ŞİLE,800.0
İSTANBUL,ŞİŞLİ,10.0
İSTANBUL,TUZLA,138.0
İSTANBUL,ÜMRANİYE,46.0
İSTANBUL,ÜSKÜDAR,35.0
İSTANBUL,ZEYTİNBURNU,12.0
İZMİR,ALİAĞA,379.0
İZMİR,BALÇOVA,16.0
İZMİR,BAYINDIR,548.0
İZMİR,BAYRAKLI,30.0
İZMİR,BERGAMA,1544.0
İZMİR,BEYDAĞ,172.0
İZMİR,BORNOVA,220.0
İZMİR,BUCA,178.0
İZMİR,ÇEŞME,285.0
İZMİR,ÇİĞLİ,139.0
İZMİR,DİKİLİ,534.0
İZMİR,FOÇA,251.0
İZMİR,GAZİEMİR,70.0
İZMİR,GÜZELBAHÇE,77.0
İZMİR,KARABAĞLAR,89.0
İZMİR,KARABURUN,421.0
İZMİR,KARŞIYAKA,51.0
İZMİR,KEMALPAŞA,681.0
İZMİR,KINIK,479.0
İZMİR,KİRAZ,573.0
İZMİR,KONAK,24.0
İZMİR,MENDERES,777.0
İZMİR,MENEMEN,573.0
İZMİR,NARLIDERE,50.0
İZMİR,ÖDEMİŞ,1019.0
İZMİR,SEFERİHİSAR,375.0
İZMİR,SELÇUK,317.0
İZMİR,TİRE,716.0
İZMİR,TORBALI,577.0
İZMİR,URLA,727.0
KAHRAMANMARAŞ,AFŞİN,1502.0
KAHRAMANMARAŞ,ANDIRIN,1202.0
KAHRAMANMARAŞ,ÇAĞLAYANCERİT,470.0
KAHRAMANMARAŞ,DULKADİROĞLU,1176.0
KAHRAMANMARAŞ,EKİNÖZÜ,656.0
KAHRAMANMARAŞ,ELBİSTAN,2201.0
KAHRAMANMARAŞ,GÖKSUN,1942.0
KAHRAMANMARAŞ,NURHAK,1028.0
KAHRAMANMARAŞ,ONİKİŞUBAT,2429.0
